Annotated Adduct Features ID	Best Ion	Correlated Features Group ID	G1	G2	G3	G4	G5	G6	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	MS2 Verification Comment	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	cluster index	componentindex	neutral M mass	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
13.0	[M-H-COCH2]-	3	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a01316aea6d8420bb67d2b41576556d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"141","main.cluster index_upperinput":"141"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=88&task=a01316aea6d8420bb67d2b41576556d3&show=true	N/A	N/A	N/A	 	629.2000	629.2000	0	N/A	N/A	207189.55008017906	10	141	88	285.9454	10	-240.9220	-1	242.9220	207189.55008017906
 	 	3	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a01316aea6d8420bb67d2b41576556d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"52","main.cluster index_upperinput":"52"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=57&task=a01316aea6d8420bb67d2b41576556d3&show=true	N/A	N/A	N/A	 	629.5000	629.5000	0	N/A	N/A	200490.10285761298	9	52	57	 	9	-161.8510	-1	163.8510	200490.10285761298
11.0	[M+Cl+NH3]-	3	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a01316aea6d8420bb67d2b41576556d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"225","main.cluster index_upperinput":"225"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=66&task=a01316aea6d8420bb67d2b41576556d3&show=true	N/A	N/A	N/A	 	628.7000	628.7000	0	N/A	N/A	155705.91189102904	13	225	66	234.9532	13	-284.9600	-1	286.9600	155705.91189102904
13.0	[M-H-CH3]-	3	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a01316aea6d8420bb67d2b41576556d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"166","main.cluster index_upperinput":"166"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=88&task=a01316aea6d8420bb67d2b41576556d3&show=true	N/A	N/A	N/A	 	629.2000	629.2000	0	N/A	N/A	112158.26012700648	9	166	88	285.9454	9	-267.9170	-1	269.9170	112158.26012700648
 	 	3	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a01316aea6d8420bb67d2b41576556d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"360","main.cluster index_upperinput":"360"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=128&task=a01316aea6d8420bb67d2b41576556d3&show=true	N/A	N/A	N/A	 	631.2000	631.2000	0	N/A	N/A	104293.42632386491	26	360	128	 	26	-325.2190	-1	327.2190	104293.42632386491
14.0	[M-H]-	3	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a01316aea6d8420bb67d2b41576556d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"329","main.cluster index_upperinput":"329"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=96&task=a01316aea6d8420bb67d2b41576556d3&show=true	N/A	N/A	N/A	 	629.0000	629.0000	0	N/A	N/A	79369.65586045719	12	329	96	314.0799	12	-311.0730	-1	313.0730	79369.65586045719
 	 	3	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a01316aea6d8420bb67d2b41576556d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1139","main.cluster index_upperinput":"1139"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=36&task=a01316aea6d8420bb67d2b41576556d3&show=true	N/A	N/A	N/A	 	629.3000	629.3000	0	N/A	N/A	64222.98491572307	10	1139	36	 	10	-879.0140	-1	881.0140	64222.98491572307
15.0	[M-H]-	4	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a01316aea6d8420bb67d2b41576556d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"752","main.cluster index_upperinput":"752"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=2&task=a01316aea6d8420bb67d2b41576556d3&show=true	InChI=1S/C22H18O10/c23-11-6-14(25)12-8-19(32-22(30)10-4-16(27)20(29)17(28)5-10)21(31-18(12)7-11)9-1-2-13(24)15(26)3-9/h1-7,19,21,23-29H,8H2/t19-,21-/m1/s1	epicatechin gallate	0.9038959999999999	 	510.3000	510.3000	0	N/A	CCMSLIB00004694691	7418945.107725749	6	752	2	496.26099999999997	6	-493.2480	-1	495.2480	7418945.107725749
 	 	4	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a01316aea6d8420bb67d2b41576556d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"753","main.cluster index_upperinput":"753"}	This Node is a Singleton	N/A	N/A	N/A	 	510.3000	510.3000	0	N/A	N/A	2258816.25980508	6	753	-1	 	6	-493.5060	-1	495.5060	2258816.25980508
 	 	4	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a01316aea6d8420bb67d2b41576556d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"754","main.cluster index_upperinput":"754"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=103&task=a01316aea6d8420bb67d2b41576556d3&show=true	N/A	N/A	N/A	 	510.3000	510.3000	0	N/A	N/A	1328630.412991239	6	754	103	 	6	-493.7710	-1	495.7710	1328630.412991239
 	 	4	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a01316aea6d8420bb67d2b41576556d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"755","main.cluster index_upperinput":"755"}	This Node is a Singleton	N/A	N/A	N/A	 	510.3000	510.3000	0	N/A	N/A	981026.4450314003	6	755	-1	 	6	-494.0510	-1	496.0510	981026.4450314003
 	 	4	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a01316aea6d8420bb67d2b41576556d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"756","main.cluster index_upperinput":"756"}	This Node is a Singleton	N/A	N/A	N/A	 	510.2000	510.2000	0	N/A	N/A	866953.7076530635	6	756	-1	 	6	-494.2770	-1	496.2770	866953.7076530635
15.0	[M-H-C6H10O5]-	4	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a01316aea6d8420bb67d2b41576556d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"386","main.cluster index_upperinput":"386"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=30&task=a01316aea6d8420bb67d2b41576556d3&show=true	N/A	N/A	N/A	 	511.6000	511.6000	0	N/A	N/A	813964.6829363548	6	386	30	496.26099999999997	6	-331.2030	-1	333.2030	813964.6829363548
15.0	[M-H+HCOOH]-	4	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a01316aea6d8420bb67d2b41576556d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"817","main.cluster index_upperinput":"817"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=98&task=a01316aea6d8420bb67d2b41576556d3&show=true	"InChI=1S/C19H18O7/c1-22-13-6-5-10(7-11(13)20)14-8-12(21)17-15(26-14)9-16(23-2)18(24-3)19(17)25-4/h5-9,20H,1-4H3"	Eupatorin-5-methylether CollisionEnergy:205060	0.820724	 	510.0000	510.0000	0	COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)cc3o2)cc1O	CCMSLIB00010116214	241823.85634445027	6	817	98	496.26099999999997	6	-539.2600	-1	541.2600	241823.85634445027
 	 	4	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a01316aea6d8420bb67d2b41576556d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"635","main.cluster index_upperinput":"635"}	This Node is a Singleton	N/A	N/A	N/A	 	510.8000	510.8000	0	N/A	N/A	173834.5867310859	6	635	-1	 	6	-431.1870	-1	433.1870	173834.5867310859
15.0	[M+Cl]-	4	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a01316aea6d8420bb67d2b41576556d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"802","main.cluster index_upperinput":"802"}	This Node is a Singleton	N/A	N/A	N/A	 	509.9000	509.9000	0	N/A	N/A	171085.2756454993	8	802	-1	496.26099999999997	8	-529.2380	-1	531.2380	171085.2756454993
 	 	4	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a01316aea6d8420bb67d2b41576556d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"757","main.cluster index_upperinput":"757"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=114&task=a01316aea6d8420bb67d2b41576556d3&show=true	N/A	N/A	N/A	 	510.3000	510.3000	0	N/A	N/A	166928.84972626154	6	757	114	 	6	-494.7070	-1	496.7070	166928.84972626154
 	 	4	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a01316aea6d8420bb67d2b41576556d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1023","main.cluster index_upperinput":"1023"}	This Node is a Singleton	N/A	N/A	N/A	 	512.3000	512.3000	0	N/A	N/A	144847.19594786357	9	1023	-1	 	9	-723.2990	-1	725.2990	144847.19594786357
 	 	4	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a01316aea6d8420bb67d2b41576556d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"760","main.cluster index_upperinput":"760"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=9&task=a01316aea6d8420bb67d2b41576556d3&show=true	InChI=1S/C21H20O11/c1-7-15(26)17(28)18(29)21(30-7)32-20-16(27)14-12(25)5-9(22)6-13(14)31-19(20)8-2-3-10(23)11(24)4-8/h2-7,15,17-18,21-26,28-29H,1H3/t7-,15-,17+,18+,21-/m0/s1	Quercitrin	0.952307	 	510.2000	510.2000	0	O=C1C2=C(O)C=C(O)C=C2OC(C3=CC(O)=C(O)C=C3)=C1O[C@H]4[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O4	CCMSLIB00000078893	104153.24517233676	6	760	9	 	6	-495.2660	-1	497.2660	104153.24517233676
16.0	[M-H]-	5	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a01316aea6d8420bb67d2b41576556d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"847","main.cluster index_upperinput":"847"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=49&task=a01316aea6d8420bb67d2b41576556d3&show=true	N/A	N/A	N/A	 	541.8000	541.8000	0	N/A	N/A	13613097.820393695	16	847	49	572.1884	16	-569.1790	-1	571.1790	13613097.820393695
 	 	5	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a01316aea6d8420bb67d2b41576556d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"852","main.cluster index_upperinput":"852"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=124&task=a01316aea6d8420bb67d2b41576556d3&show=true	N/A	N/A	N/A	 	543.6000	543.6000	0	N/A	N/A	5994009.759925643	15	852	124	 	15	-569.4870	-1	571.4870	5994009.759925643
 	 	5	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a01316aea6d8420bb67d2b41576556d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"850","main.cluster index_upperinput":"850"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=124&task=a01316aea6d8420bb67d2b41576556d3&show=true	N/A	N/A	N/A	 	543.5000	543.5000	0	N/A	N/A	2200218.5759725804	15	850	124	 	15	-569.3990	-1	571.3990	2200218.5759725804
 	 	5	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a01316aea6d8420bb67d2b41576556d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"853","main.cluster index_upperinput":"853"}	This Node is a Singleton	N/A	N/A	N/A	 	543.6000	543.6000	0	N/A	N/A	2151589.4595922367	15	853	-1	 	15	-569.7600	-1	571.7600	2151589.4595922367
 	 	5	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a01316aea6d8420bb67d2b41576556d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"854","main.cluster index_upperinput":"854"}	This Node is a Singleton	N/A	N/A	N/A	 	544.3000	544.3000	0	N/A	N/A	1963156.990436448	14	854	-1	 	14	-570.0340	-1	572.0340	1963156.990436448
 	 	5	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a01316aea6d8420bb67d2b41576556d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"856","main.cluster index_upperinput":"856"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=154&task=a01316aea6d8420bb67d2b41576556d3&show=true	N/A	N/A	N/A	 	545.7000	545.7000	0	N/A	N/A	1439170.4778445682	14	856	154	 	14	-570.1840	-1	572.1840	1439170.4778445682
 	 	5	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a01316aea6d8420bb67d2b41576556d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"860","main.cluster index_upperinput":"860"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=1&task=a01316aea6d8420bb67d2b41576556d3&show=true	N/A	N/A	N/A	 	542.0000	542.0000	0	N/A	N/A	649227.9456280504	18	860	1	 	18	-571.1920	-1	573.1920	649227.9456280504
 	 	5	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a01316aea6d8420bb67d2b41576556d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"173","main.cluster index_upperinput":"173"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=22&task=a01316aea6d8420bb67d2b41576556d3&show=true	 	Epicatechin	0.8236889999999999	 	539.8000	539.8000	0	 	CCMSLIB00010128632	604869.3291757851	17	173	22	 	17	-269.0970	-1	271.0970	604869.3291757851
 	 	5	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a01316aea6d8420bb67d2b41576556d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"857","main.cluster index_upperinput":"857"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=99&task=a01316aea6d8420bb67d2b41576556d3&show=true	N/A	N/A	N/A	 	545.6000	545.6000	0	N/A	N/A	499570.24086859915	12	857	99	 	12	-570.3800	-1	572.3800	499570.24086859915
 	 	5	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a01316aea6d8420bb67d2b41576556d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"168","main.cluster index_upperinput":"168"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=31&task=a01316aea6d8420bb67d2b41576556d3&show=true	N/A	N/A	N/A	 	539.6000	539.6000	0	N/A	N/A	312088.1982746039	11	168	31	 	11	-268.9170	-1	270.9170	312088.1982746039
 	 	5	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a01316aea6d8420bb67d2b41576556d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"161","main.cluster index_upperinput":"161"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=57&task=a01316aea6d8420bb67d2b41576556d3&show=true	N/A	N/A	N/A	 	545.1000	545.1000	0	N/A	N/A	279812.40165127587	21	161	57	 	21	-267.0460	-1	269.0460	279812.40165127587
 	 	5	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a01316aea6d8420bb67d2b41576556d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"35","main.cluster index_upperinput":"35"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=66&task=a01316aea6d8420bb67d2b41576556d3&show=true	N/A	N/A	N/A	 	538.0000	538.0000	0	N/A	N/A	178329.98788723393	9	35	66	 	9	-148.8430	-1	150.8430	178329.98788723393
