id	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications	featureId
93_all_features_Matched_for_GNPS_msLevel2retentionTime443.05704scanNum96	C5H2N6O	[M - H]-	C5H2N6O	Alkaloids	0.894775569	Pseudoalkaloids	0.682044446	pteridine alkaloids	0.538961768	Imidazopyrimidines	0.508860409					Imidazopyrimidines	0.508860409	Organoheterocyclic compounds	0.999973297	Organic compounds; Organoheterocyclic compounds; Pyrazines; Pyrimidines and pyrimidine derivatives; Imidazoles; Organonitrogen compounds; Pyrimidones; Organooxygen compounds; Azoles; Diazines; Imidazopyrimidines; Vinylogous amides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	FT0047
1296_all_features_Matched_for_GNPS_msLevel2retentionTime441.59502scanNum133	C9H6O3	[M - H]-	C9H6O3	Shikimates and Phenylpropanoids	0.658717632	Coumarins	0.512562573	Simple coumarins	0.525271297	Hydroxycoumarins	0.623556733			Hydroxycoumarins	0.623556733	Coumarins and derivatives	0.386443764	Phenylpropanoids and polyketides	0.501279712	Organic compounds; Phenols; Phenylpropanoids and polyketides; Organooxygen compounds; Benzenoids; Hydroxycoumarins; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities	FT0047
1332_all_features_Matched_for_GNPS_msLevel2retentionTime437.92602scanNum137	C9H6O3	[M - H]-	C9H6O3	Shikimates and Phenylpropanoids	0.625818133	Coumarins	0.513538361	Simple coumarins	0.49115774	1-benzopyrans	0.535936713			1-benzopyrans	0.535936713	Benzopyrans	0.554895163	Organoheterocyclic compounds	0.716283321	Organic compounds; Organoheterocyclic compounds; Lactones; Pyrans; Benzopyrans; Phenols; Organooxygen compounds; Pyranones and derivatives; Benzenoids; 1-benzopyrans; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Chemical entities	FT0047
1350_all_features_Matched_for_GNPS_msLevel2retentionTime440.89698scanNum139	C9H6O3	[M - H]-	C9H6O3	Shikimates and Phenylpropanoids	0.751216054	Coumarins	0.700809658	Simple coumarins	0.648342013	Hydroxycoumarins	0.800818861			Hydroxycoumarins	0.800818861	Coumarins and derivatives	0.707819462	Phenylpropanoids and polyketides	0.792933762	Organic compounds; Organoheterocyclic compounds; Lactones; Pyrans; Benzopyrans; Phenols; Coumarins and derivatives; Phenylpropanoids and polyketides; Organooxygen compounds; Pyranones and derivatives; Benzenoids; Hydroxycoumarins; 1-benzopyrans; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Chemical entities	FT0047
925_all_features_Matched_for_GNPS_msLevel2retentionTime353.961scanNum961	C7H6O5	[M - H]-	C7H6O5	Shikimates and Phenylpropanoids	0.841277957	Phenolic acids (C6-C1)	0.881187856	Gallotannins	0.752959847	Gallic acids	0.799702704	Hydroxybenzoic acid derivatives	0.986309409	Benzoic acids and derivatives	0.991267383	Benzene and substituted derivatives	0.999739468	Benzenoids	0.999931693	Organic compounds; Alcohols and polyols; Phenols; Benzoic acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Benzoyl derivatives; Organooxygen compounds; Pyrogallols and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Hydroxybenzoic acid derivatives; Gallic acid and derivatives; Benzenetriols and derivatives; Benzene and substituted derivatives; Polyols; Benzenoids; Benzoic acids; Gallic acids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities	FT0058
723_all_features_Matched_for_GNPS_msLevel2retentionTime264.76404scanNum751	C7H6O5	[M - H]-	C7H6O5	Shikimates and Phenylpropanoids	0.850932837	Phenolic acids (C6-C1)	0.885193586	Gallotannins	0.741312861	Gallic acids	0.7690323	Hydroxybenzoic acid derivatives	0.991373956	Benzoic acids and derivatives	0.994835377	Benzene and substituted derivatives	0.999855995	Benzenoids	0.999961019	Organic compounds; Alcohols and polyols; Phenols; Benzoic acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Benzoyl derivatives; Organooxygen compounds; Pyrogallols and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Hydroxybenzoic acid derivatives; Gallic acid and derivatives; Benzenetriols and derivatives; Benzene and substituted derivatives; Polyols; Benzenoids; Benzoic acids; Gallic acids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities	FT0059
504_all_features_Matched_for_GNPS_msLevel2retentionTime209.30502scanNum518	C7H12O6	[M - H]-	C7H12O6	Shikimates and Phenylpropanoids	0.851989031	Phenolic acids (C6-C1)	0.844607174	Shikimic acids and derivatives	0.720477939	Quinic acids and derivatives	0.78787154	Cyclic alcohols and derivatives	0.973346531	Alcohols and polyols	0.99825567	Organooxygen compounds	1	Organic oxygen compounds	1	Organic compounds; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Hydroxy acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Cyclic alcohols and derivatives; Alpha hydroxy acids and derivatives; Secondary alcohols; Tertiary alcohols; Carbonyl compounds; Polyols; Cyclitols and derivatives; Quinic acids and derivatives; Cyclohexanols; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	FT0083
523_all_features_Matched_for_GNPS_msLevel2retentionTime202.383scanNum539	C7H12O6	[M - H]-	C7H12O6	Shikimates and Phenylpropanoids	0.859461606	Phenolic acids (C6-C1)	0.840956271	Shikimic acids and derivatives	0.691746831	Quinic acids and derivatives	0.849740207	Cyclic alcohols and derivatives	0.989902973	Alcohols and polyols	0.999341547	Organooxygen compounds	1	Organic oxygen compounds	1	Organic compounds; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Hydroxy acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Cyclic alcohols and derivatives; Alpha hydroxy acids and derivatives; Secondary alcohols; Tertiary alcohols; Carbonyl compounds; Polyols; Cyclitols and derivatives; Quinic acids and derivatives; Cyclohexanols; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	FT0083
1148_all_features_Matched_for_GNPS_msLevel2retentionTime206.35098scanNum118	C7H12O6	[M - H]-	C7H12O6	Shikimates and Phenylpropanoids	0.860226691	Phenolic acids (C6-C1)	0.865962863	Shikimic acids and derivatives	0.798989713	Quinic acids and derivatives	0.750283778	Cyclic alcohols and derivatives	0.950298727	Alcohols and polyols	0.996546686	Organooxygen compounds	1	Organic oxygen compounds	0.999999762	Organic compounds; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Hydroxy acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Cyclic alcohols and derivatives; Alpha hydroxy acids and derivatives; Secondary alcohols; Tertiary alcohols; Carbonyl compounds; Polyols; Cyclitols and derivatives; Quinic acids and derivatives; Cyclohexanols; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	FT0083
1396_all_features_Matched_for_GNPS_msLevel2retentionTime199.40802scanNum143	C7H12O6	[M - H]-	C7H12O6	Shikimates and Phenylpropanoids	0.859812915	Phenolic acids (C6-C1)	0.844393969	Shikimic acids and derivatives	0.713932693	Quinic acids and derivatives	0.84342891	Cyclic alcohols and derivatives	0.987896323	Alcohols and polyols	0.999195397	Organooxygen compounds	1	Organic oxygen compounds	1	Organic compounds; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Hydroxy acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Cyclic alcohols and derivatives; Alpha hydroxy acids and derivatives; Secondary alcohols; Tertiary alcohols; Carbonyl compounds; Polyols; Cyclitols and derivatives; Quinic acids and derivatives; Cyclohexanols; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	FT0083
1426_all_features_Matched_for_GNPS_msLevel2retentionTime205.43598scanNum146	C7H12O6	[M - H]-	C7H12O6	Shikimates and Phenylpropanoids	0.864130855	Phenolic acids (C6-C1)	0.857412636	Shikimic acids and derivatives	0.786619306	Quinic acids and derivatives	0.829632223	Cyclic alcohols and derivatives	0.98209399	Alcohols and polyols	0.998840153	Organooxygen compounds	1	Organic oxygen compounds	1	Organic compounds; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Hydroxy acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Cyclic alcohols and derivatives; Alpha hydroxy acids and derivatives; Secondary alcohols; Tertiary alcohols; Carbonyl compounds; Polyols; Cyclitols and derivatives; Quinic acids and derivatives; Cyclohexanols; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	FT0083
505_all_features_Matched_for_GNPS_msLevel2retentionTime271.38498scanNum519	C7H12O6	[M - H]-	C7H12O6	Shikimates and Phenylpropanoids	0.847266197	Phenolic acids (C6-C1)	0.84098208	Shikimic acids and derivatives	0.711137354	Quinic acids and derivatives	0.74548769	Cyclic alcohols and derivatives	0.958918333	Alcohols and polyols	0.99732542	Organooxygen compounds	1	Organic oxygen compounds	0.999999881	Organic compounds; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Hydroxy acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Cyclic alcohols and derivatives; Alpha hydroxy acids and derivatives; Secondary alcohols; Tertiary alcohols; Carbonyl compounds; Polyols; Cyclitols and derivatives; Quinic acids and derivatives; Cyclohexanols; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	FT0084
524_all_features_Matched_for_GNPS_msLevel2retentionTime266.58798scanNum540	C7H12O6	[M - H]-	C7H12O6	Shikimates and Phenylpropanoids	0.846000195	Phenolic acids (C6-C1)	0.819497645	Shikimic acids and derivatives	0.676382542	Quinic acids and derivatives	0.769916236	Cyclic alcohols and derivatives	0.971566498	Alcohols and polyols	0.99804002	Organooxygen compounds	1	Organic oxygen compounds	0.999999881	Organic compounds; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Hydroxy acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Cyclic alcohols and derivatives; Alpha hydroxy acids and derivatives; Secondary alcohols; Tertiary alcohols; Carbonyl compounds; Polyols; Cyclitols and derivatives; Quinic acids and derivatives; Cyclohexanols; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	FT0084
913_all_features_Matched_for_GNPS_msLevel2retentionTime268.93698scanNum949	C7H12O6	[M - H]-	C7H12O6	Carbohydrates	0.70508182	Polyols	0.766308844	Cyclitols	0.70203644	Cyclohexanols	0.842600346	Secondary alcohols	0.997915208	Alcohols and polyols	0.999869943	Organooxygen compounds	0.999994993	Organic oxygen compounds	0.99996841	Organic compounds; Alcohols and polyols; Organooxygen compounds; Cyclic alcohols and derivatives; Secondary alcohols; Polyols; Cyclitols and derivatives; Cyclohexanols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	FT0084
1397_all_features_Matched_for_GNPS_msLevel2retentionTime264.54198scanNum143	C5H10N3O5	[M - H]-	C5H10N3O5	Carbohydrates	0.259194613	Small peptides	0.177019104	Aminoacids	0.389409244	Guanidines	0.672193706			Guanidines	0.672193706	Organonitrogen compounds	0.978900313	Organic nitrogen compounds	0.995429277	"Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Guanidines; Secondary alcohols; Polyols; Carboximidamides; Organic 1,3-dipolar compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	FT0084
243_all_features_Matched_for_GNPS_msLevel2retentionTime27.6scanNum248pr	C9H11NO4	[M - H]-	C9H11NO4	Amino acids and Peptides	0.695494056	Small peptides	0.763242781	Aminoacids	0.745102048	Tyrosine and derivatives	0.864065349	Amino acids and derivatives	0.999969721	"Amino acids, peptides, and analogues"	0.999970913	Carboxylic acids and derivatives	0.999932408	Organic acids and derivatives	0.999985814	"Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Phenols; Catechols; Phenethylamines; Amphetamines and derivatives; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Benzenediols; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acids; Benzenoids; Amines; Primary amines; Phenylpropanoic acids; Aralkylamines; Organic oxides; Hydrocarbon derivatives; Amino acids; Tyrosine and derivatives; Phenylalanine and derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities"	FT0099
530_all_features_Matched_for_GNPS_msLevel2retentionTime27.144scanNum546	C7H9N4O3	[M - H]-	C7H9N4O3	Amino acids and Peptides	0.553875804	Small peptides	0.743347526	Aminoacids	0.59804064	Histidine and derivatives	0.539537549	Amino acids and derivatives	0.48621878	"Amino acids, peptides, and analogues"	0.48910439	Carboxylic acids and derivatives	0.584119856	Organic acids and derivatives	0.869465351	Organic compounds; Organoheterocyclic compounds; Alpha amino acids and derivatives; Imidazoles; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Azoles; Monocarboxylic acids and derivatives; Carboxylic acids; Imidazolyl carboxylic acids and derivatives; Carbonyl compounds; Substituted imidazoles; N-substituted imidazoles; Amines; Primary amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Histidine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	FT0099
578_all_features_Matched_for_GNPS_msLevel2retentionTime26.917scanNum596	C9H11NO4	[M - H]-	C9H11NO4	Amino acids and Peptides	0.72678262	Small peptides	0.792955697	Aminoacids	0.758059859	Tyrosine and derivatives	0.877467632	Amino acids and derivatives	0.999975443	"Amino acids, peptides, and analogues"	0.999976397	Carboxylic acids and derivatives	0.999960303	Organic acids and derivatives	0.999993205	"Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Phenols; Catechols; Phenethylamines; Amphetamines and derivatives; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Benzenediols; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acids; Benzenoids; Amines; Primary amines; Phenylpropanoic acids; Aralkylamines; Organic oxides; Hydrocarbon derivatives; Amino acids; Tyrosine and derivatives; Phenylalanine and derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities"	FT0099
649_all_features_Matched_for_GNPS_msLevel2retentionTime30.35scanNum672p	C9H11NO4	[M - H]-	C9H11NO4	Amino acids and Peptides	0.635556161	Small peptides	0.701575756	Aminoacids	0.700525701	Tyrosine and derivatives	0.855421782	Amino acids and derivatives	0.999953985	"Amino acids, peptides, and analogues"	0.999955654	Carboxylic acids and derivatives	0.999919176	Organic acids and derivatives	0.999986053	"Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Phenols; Catechols; Phenethylamines; Amphetamines and derivatives; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Benzenediols; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acids; Benzenoids; Amines; Primary amines; Phenylpropanoic acids; Aralkylamines; Organic oxides; Hydrocarbon derivatives; Amino acids; Tyrosine and derivatives; Phenylalanine and derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities"	FT0099
808_all_features_Matched_for_GNPS_msLevel2retentionTime30.585scanNum841	C9H11NO4	[M - H]-	C9H11NO4	Amino acids and Peptides	0.805191696	Small peptides	0.881559312	Aminoacids	0.854175389	Tyrosine and derivatives	0.860734224	Amino acids and derivatives	0.999965906	"Amino acids, peptides, and analogues"	0.999967217	Carboxylic acids and derivatives	0.9999547	Organic acids and derivatives	0.999992371	"Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Phenols; Catechols; Phenethylamines; Amphetamines and derivatives; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Benzenediols; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acids; Benzenoids; Amines; Primary amines; Phenylpropanoic acids; Aralkylamines; Organic oxides; Hydrocarbon derivatives; Amino acids; Tyrosine and derivatives; Phenylalanine and derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities"	FT0099
833_all_features_Matched_for_GNPS_msLevel2retentionTime30.817scanNum866	C9H11NO4	[M - H]-	C9H11NO4	Amino acids and Peptides	0.764946163	Small peptides	0.840567172	Aminoacids	0.791905761	Tyrosine and derivatives	0.881009698	Amino acids and derivatives	0.999983907	"Amino acids, peptides, and analogues"	0.999984503	Carboxylic acids and derivatives	0.999967098	Organic acids and derivatives	0.999994636	"Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Phenols; Catechols; Phenethylamines; Amphetamines and derivatives; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Benzenediols; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acids; Benzenoids; Amines; Primary amines; Phenylpropanoic acids; Aralkylamines; Organic oxides; Hydrocarbon derivatives; Amino acids; Tyrosine and derivatives; Phenylalanine and derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities"	FT0099
